Announcement_Date,Effective_Date,Dividend_Type,Dividend_percentage,Remarks,
16-01-2014 , 27-01-2014 , Interim , 400.00 , Rs.4.0000 per share(400%)Third Interim Dividend , 
15-10-2013 , 25-10-2013 , Interim , 400.00 , Rs.4.0000 per share(400%)Second Interim Dividend , 
18-07-2013 , 29-07-2013 , Interim , 400.00 , Rs.4.0000 per share(400%)Interim Dividend , 
17-04-2013 , 06-06-2013 , Final , 1300.00 , Rs.13.0000 per share(1300%)Final Dividend , 
14-01-2013 , 23-01-2013 , Interim , 300.00 , Rs.3.0000 per share(300%)Third Interim Dividend , 
19-10-2012 , 31-10-2012 , Interim , 300.00 , Rs.3.00 per share (300%) Second Interim Dividend , 
12-07-2012 , 23-07-2012 , Interim , 300.00 , Rs.3.00 per share(300%)Interim Dividend , 
23-04-2012 , 07-06-2012 , Final , 1600.00 , Rs. 8/- per share (800%) Final Dividend & Rs. 8/- per share (800%) Special Dividend , 
17-01-2012 , 25-01-2012 , Interim , 300.00 , Third Interim Dividend , 
17-10-2011 , 25-10-2011 , Interim , 300.00 , Second Interim Dividend , 
14-07-2011 , 28-07-2011 , Interim , 300.00 , - , 
21-04-2011 , 08-06-2011 , Final , 800.00 , Rs.8.00 per share(800%)Final Dividend , 
17-01-2011 , 27-01-2011 , Interim , 200.00 , Third Interim Dividend , 
21-10-2010 , 01-11-2010 , Interim , 200.00 , Second Interim Dividend , 
15-07-2010 , 29-07-2010 , Interim , 200.00 , - , 
19-04-2010 , 15-06-2010 , Final , 1400.00 , Rs.10.00 per share(1000%) Special Dividend & Rs.4.00 per share(400%)Final Dividend , 
15-01-2010 , 27-01-2010 , Interim , 200.00 , Third Interim Dividend , 
20-10-2009 , 28-10-2009 , Interim , 200.00 , Second Interim Dividend , 
20-07-2009 , 27-07-2009 , Interim , 200.00 , - , 
21-04-2009 , 16-06-2009 , Final , 500.00 , & Bonus Issue , 
07-01-2009 , 28-01-2009 , Interim , 300.00 , Third Interim Dividend , 
14-10-2008 , 29-10-2008 , Interim , 300.00 , Second Interim Dividend , 
17-07-2008 , 29-10-2008 , Interim , 300.00 , Second Interim Dividend , 
08-07-2008 , 31-07-2008 , Interim , 300.00 , - , 
21-04-2008 , 18-06-2008 , Final , 500.00 , - , 
08-01-2008 , 23-01-2008 , Interim , 300.00 , Third Interim Dividend , 
03-10-2007 , 22-10-2007 , Interim , 300.00 , Second Interim Dividend , 
06-07-2007 , 27-07-2007 , Interim , 300.00 , - , 
16-04-2007 , 15-06-2007 , Final , 400.00 , AGM , 
08-01-2007 , 22-01-2007 , Interim , 300.00 , Third Interim Dividend , 
09-10-2006 , 23-10-2006 , Interim , 300.00 , Second Interim Dividend , 
11-07-2006 , 28-07-2006 , Interim , 300.00 , Interim Dividend (Pre Bonus) & Bonus issue , 
17-04-2006 , 16-06-2006 , Final , 450.00 , Final Dividend of Rs.4.50  per equity share of Re.1/- each , 
04-01-2006 , 18-01-2006 , Interim , 300.00 , Third Interim Dividend of Rs.3.00 per equity share of Re.1/- each. , 
04-10-2005 , 18-10-2005 , Interim , 300.00 , Second Interim Dividend , 
18-07-2005 , 18-08-2005 , Interim , 300.00 , - , 
19-04-2005 , 06-07-2005 , Final , 500.00 , AGM , 
13-01-2005 , 03-02-2005 , Interim , 350.00 , Second Interim Dividend , 
14-10-2004 , 28-10-2004 , Interim , 300.00 , - , 
